Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Jul.2012,127629000,16598000,80491000,30473000,90537,94741,56.6,4.4
Aug.2012,127625000,16589000,80390000,30576000,90906,96964,56.6,4.2
Sep.2012,127561000,16557000,80245000,30684000,89758,92880,56.8,4.2
Oct.2012,127593000,16547000,80175000,30793000,90438,102648,57,4.1
Nov.2012,127593000,16536000,80082000,30894000,85577,108280,56.7,4
Dec.2012,127575000,16527000,79992000,30972000,86107,119950,56.1,4
Jan.2013,127529000,16525000,79901000,31019000,85853,127352,56.2,4.2
Feb.2013,127501000,16505000,79735000,31172000,77066,110772,56.3,4.2
Mar.2013,127429000,16492000,79558000,31286000,82998,111065,56.3,4.3
Apr.2013,127450000,16488000,79466000,31400000,81856,103571,57,4.4
May.2013,127409000,16465000,79355000,31490000,85297,102065,57.2,4.2
Jun.2013,127428000,16453000,79310000,31563000,82397,92313,57.1,3.9
Jul.2013,127445000,16445000,79259000,31634000,91467,96883,56.9,3.9
Aug.2013,127445000,16436000,79182000,31718000,92118,99049,56.9,4.1
Sep.2013,127375000,16402000,79055000,31806000,90618,96208,57.3,3.9
Oct.2013,127414000,16390000,79010000,31898000,90667,103060,57.4,4
Nov.2013,127413000,16379000,78928000,31988000,83126,108764,57.5,3.8
Dec.2013,127399000,16369000,78837000,32071000,86354,117336,57,3.4
Jan.2014,127357000,16367000,78747000,32120000,83572,124705,56.5,3.7
Feb.2014,127315000,16347000,78562000,32278000,73897,110317,56.7,3.6
Mar.2014,127267000,16330000,78427000,32379000,79340,113808,56.8,3.8
Apr.2014,127270000,16323000,78328000,32484000,78843,104422,57.2,3.9
May.2014,127235000,16299000,78226000,32573000,83316,100843,57.7,3.6
Jun.2014,127254000,16286000,78177000,32650000,81408,92509,57.7,3.7
Jul.2014,127276000,16284000,78125000,32722000,89527,95995,57.3,3.8
Aug.2014,127270000,16276000,78035000,32811000,87739,98119,57.4,3.5
Sep.2014,127197000,16240000,77903000,32904000,90320,97610,57.8,3.5
Oct.2014,127237000,16233000,77850000,33000000,88599,104333,57.6,3.5
Nov.2014,127240000,16225000,77765000,33093000,80997,108192,57.5,3.3
Dec.2014,127225000,16213000,77681000,33170000,86051,122172,57.4,3.2
Jan.2015,127177000,16214000,77572000,33230000,84742,134256,57,3.5
Feb.2015,127158000,16191000,77475000,33325000,75992,110042,57.1,3.5
Mar.2015,127066000,16173000,77313000,33410000,81943,113860,57.1,3.5
Apr.2015,127112000,16172000,77277000,33491000,83410,104886,57.3,3.6
May.2015,127080000,16152000,77198000,33554000,83831,102731,57.8,3.4
Jun.2015,127109000,16139000,77184000,33606000,83202,94569,58,3.4
Jul.2015,127141000,16144000,77159000,33656000,88614,99448,57.6,3.4
Aug.2015,127128000,16133000,77086000,33723000,86359,101081,57.6,3.4
Sep.2015,127065000,16096000,76987000,33792000,86833,98242,58.1,3.4
Oct.2015,127094745,15945000,77282000,33868000,85826,107928,58,3.1
Nov.2015,127104000,15929000,77233000,33934000,80660,106616,57.6,3.2
Dec.2015,127106000,15915000,77178000,33995000,84309,116851,57.6,3.1
Jan.2016,127053000,15911000,77072000,34045000,82292,124668,57.8,3.2
Feb.2016,127050000,15889000,76970000,34154000,76766,114527,57.4,3.2
Mar.2016,126992000,15879000,76841000,34227000,81210,116072,57.2,3.3
Apr.2016,127029000,15881000,76796000,34298000,79755,105264,57.8,3.4
May.2026,126988000,15857000,76715000,34353000,80908,103261,58.2,3.2
Jun.2016,127042000,15846000,76728000,34396000,80548,95443,58.6,3.1
Jul.2016,127076000,15848000,76711000,34436000,85030,99203,58.5,3
Aug.2016,127067000,15833000,76650000,34493000,84977,103353,58.4,3.2
Sep.2016,127002000,15797000,76562000,34544000,85011,100240,58.6,3
Oct.2016,127042000,15780000,76562000,34591000,83295,109608,58.6,2.9
Nov.2016,127055000,15760000,76545000,34633000,77964,113856,58.2,3
Dec.2016,127044000,15745000,76502000,34671000,79486,122663,58.4,2.9
Jan.2017,126955000,15738000,76385000,34699000,79318,134174,58.2,3
Feb.2017,126933000,15716000,76296000,34778000,71881,116534,57.9,2.8
Mar.2017,126906000,15703000,76212000,34840000,78171,120019,57.9,2.8
Apr.2017,126920000,15699000,76164000,34898000,76320,108422,58.5,2.9
May.2017,126893000,15673000,76103000,34948000,79969,106278,58.9,3.1
